Year,block,BBS_route,Mayponds,logMayponds,ccsma1fi,ccsmb1,gfdla1fi,gfdlb1,hadcm3a1fi,hadcm3b1,pcma1fi,pcmb1,,logccsma1fi,logccsmb1,loggfdla1fi,loggfdlb1,loghadcm3a1fi,loghadcm3b1,logpcma1fi,logpcmb1,stopAMCO,birdAMCO,logstpAMCO,logbrdAMCO,stopSORA,birdSORA,logstpSORA,logbrdSORA,stopAMBI,birdAMBI,logstpAMBI,logbrdAMBI,stopBLTE,birdBLTE,logstpBLTE,logbrdBLTE,stopPBGR,birdPBGR,logstpPBGR,logbrdPBGR,stopNOPI,birdNOPI,logstpNOPI,logbrdNOPI
1986,2,x,5063,3.704407927,1817,1017,1917,1927,1200,1197,1237,763,1384.375,3.259354927,3.007320953,3.282622113,3.284881715,3.079181246,3.07809415,3.0923697,2.882524538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,2,x,4671,3.669409867,811,2590,1451,1468,686,478,2146,2342,1496.5,2.909020854,3.413299764,3.161667412,3.166726056,2.836324116,2.679427897,3.331629718,3.369586891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,2,x,2483,3.39497672,2198,1547,1091,1098,1097,1068,2349,2901,1668.625,3.342027688,3.189490314,3.037824751,3.04060234,3.040206628,3.028571253,3.370883017,3.462547729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,2,x,3624,3.559188189,1074,918,1764,1769,1662,1533,1016,1851,1448.375,3.031004281,2.962842681,3.246498581,3.247727833,3.220631019,3.185542155,3.006893708,3.267406419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,2,x,4182,3.621384028,2305,1570,1397,1352,1046,898,1306,1546,1427.5,3.36267093,3.195899652,3.145196406,3.130976692,3.019531685,2.953276337,3.115943177,3.18920949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,2,x,4749,3.67660217,851,1937,2224,2221,2288,1002,990,2417,1741.25,2.92992956,3.287129621,3.347134783,3.346548559,3.35945602,3.000867722,2.995635195,3.38327665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,2,x,2733,3.436639632,1385,1304,807,793,1813,2302,1467,1109,1372.5,3.141449773,3.115277591,2.906873535,2.899273187,3.258397804,3.362105319,3.166430114,3.044931546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,2,x,3060,3.485721426,1567,1117,1486,1497,668,1346,1324,1365,1296.25,3.195068996,3.048053173,3.172018809,3.1752218,2.824776462,3.12904506,3.121887985,3.135132651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,2,x,4660,3.668385917,1772,2350,1506,1503,1210,879,1021,2072,1539.125,3.248463718,3.371067862,3.177824972,3.176958981,3.08278537,2.943988875,3.009025742,3.316389751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,2,x,5152,3.711975854,628,750,2072,2065,2187,1799,1486,1603,1573.75,2.797959644,2.875061263,3.316389751,3.314920056,3.339848783,3.255031163,3.172018809,3.204933522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,2,x,5151,3.71189155,1298,1471,2922,2922,498,2035,2279,1722,1893.375,3.113274692,3.167612673,3.465680212,3.465680212,2.697229343,3.308564414,3.357744325,3.236033147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,2,x,5063,3.704407927,1612,1149,1474,1483,1929,1851,1923,1197,1577.25,3.207365037,3.060320029,3.168497484,3.171141151,3.285332228,3.267406419,3.283979284,3.07809415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,2,x,4878,3.688241796,923,1500,821,1381,2157,1860,2248,916,1475.75,2.965201701,3.176091259,2.914343157,3.140193679,3.333850145,3.269512944,3.351796307,2.961895474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,2,x,5152,3.711975854,1117,1531,1458,1456,1060,1899,1155,1822,1437.25,3.048053173,3.184975191,3.163757524,3.163161375,3.025305865,3.278524965,3.062581984,3.260548373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,2,x,4320,3.635483747,666,1441,2292,2324,1719,1315,1663,3019,1804.875,2.823474229,3.158663981,3.360214613,3.366236124,3.235275877,3.118925753,3.220892249,3.479863113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,2,x,3935,3.594944737,2387,1781,1717,1810,1267,1535,1495,1198,1648.75,3.377852419,3.250663919,3.234770295,3.257678575,3.102776615,3.18610838,3.174641193,3.078456818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,2,x,3843,3.584670384,1784,1480,2059,913,734,1062,1264,1032,1291,3.25139485,3.170261715,3.313656347,2.960470778,2.86569606,3.026124517,3.101747074,3.013679697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,2,x,3727,3.571359393,1066,2383,2848,2053,1484,590,1284,1620,1666,3.027757205,3.377124042,3.454539985,3.312388949,3.171433901,2.770852012,3.108565024,3.209515015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,2,x,3324,3.521661015,1698,1280,1807,873,1040,2310,1752,1507,1533.375,3.229937686,3.10720997,3.256958153,2.941014244,3.017033339,3.36361198,3.243534102,3.178113252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
